codigo,nombre,tipo,mov,EMCR,EVR,Dif_EVR,Factor_EVR
2045,Madrigueras,Internas,Emigraciones,111,111,0.0,1.000
2046,Mahora,Internas,Emigraciones,33,35,-5.7,1.061
2047,Masegoso,Internas,Emigraciones,1,1,0.0,1.000
2048,Minaya,Internas,Emigraciones,43,42,2.4,0.977
2049,Molinicos,Internas,Emigraciones,31,35,-11.4,1.129
2050,Montalvos,Internas,Emigraciones,2,2,0.0,1.000
2051,Montealegre del Castillo,Internas,Emigraciones,64,63,1.6,0.984
2052,Motilleja,Internas,Emigraciones,21,21,0.0,1.000
2053,Munera,Internas,Emigraciones,101,100,1.0,0.990
2054,Navas de Jorquera,Internas,Emigraciones,18,17,5.9,0.944
2055,Nerpio,Internas,Emigraciones,49,48,2.1,0.980
2056,Ontur,Internas,Emigraciones,56,55,1.8,0.982
2057,Ossa de Montiel,Internas,Emigraciones,62,63,-1.6,1.016
2058,Paterna del Madera,Internas,Emigraciones,11,12,-8.3,1.091
2059,Peñascosa,Internas,Emigraciones,15,15,0.0,1.000
2060,Peñas de San Pedro,Internas,Emigraciones,38,37,2.7,0.974
2061,Pétrola,Internas,Emigraciones,36,38,-5.3,1.056
2062,Povedilla,Internas,Emigraciones,16,16,0.0,1.000
